uid;code;type;speaker;text;next
A1;Treya appears left;;;;
A2;Fled appears right;;;;
A3;;say;Fled;Treya [s]La Paranoica[/s].;
A4;;say;Fled;No me acaba de convencer.;
A5;;say;Fled;¿Qué te parece a ti?;
A6;;choice/soft;;Ser borde|Seguir la broma|No responder;A8|A11|A15
A7;;;;;
A8;;say/question;Treya;¿A qué viene eso ahora, Fled?;
A9;;say;Fled;Tienes todas las fibras de tu cuerpo en tensión.;A20
A10;;;;;
A11;;say;Treya;No está mal, pero un poco forzado.;
A12;;say;Treya;¿Fled [s]Grano En El Culo[/s], que te parece ese para ti?;
A13;;say;Fled;Oh veo que la pupila se va convirtiendo en maestro.;A19
A14;;;;;
A15;;say;Treya;…;
A16;;say;Fled;Oh, vamos.;
A17;;say;Fled;No era una broma tan terrible como para que me ignores así.;A19
A18;;;;;
A19;;say;Fled;Pero, Treya…;
A20;Sfx play FledLaugh01;;;;
A21;;say;Fled;Relájate, te juro por mis espirales que nadie nos sigue.;
A22;;say;Fled;Seguro que es por este ambiente tan seco.;
A23;;say;Fled;Se te romperá el cuello de tanto mirarte el trasero.;
A24;;say;Fled;No se como los Jaleanos podeis estar tan lejos del mar.;
A25;;say;Fled;El sonido de las olas del mar, el olor a salitre...;
A26;;say;Fled;Echo de menos mi hogar;
A27;;say;Treya;¿Te parece raro que me preocupe?;
A28;;say;Treya;Estamos en territorio enemigo.;
A29;;say;Treya;Tú eres el que debería estar menos relajado.;
A30;camera flash;;;;
A31;;say/question;Fled;¿Nuestros enemigos? La Federación no es nuestra enemiga.;
A32;;say;Fled;Y aunque lo fuera, nadie nos encontraría aquí.;
A33;;choice/soft;;Dudar|Creer;A35|A45
A34;;;;;
A35;;say;Treya;¿Nadie?;
A36;;say;Treya;Estamos al lado del camino que lleva a Guardoblanco.;
A37;;say;Treya;Lo que me parece raro es que no nos hayan capturado.;
A38;;say;Fled;Nadie nos ha capturado por que soy el mejor escondiendose;
A39;;say;Treya;…;
A40;;say;Treya;"Lo de ""Al lado del camino"" es literal, Fled.";
A41;;say;Fled;Pero si nos encontrásemos a alguien no pasaría nada.;
A42;;say;Fled;Tenemos un plan, lo recuerdas, no?;
A43;;say;Treya;Ese estupido plan no servirá para nada.;A53
A44;;;;;
A45;;say;Treya;Si que es verdad que nadie se ha acercado.;
A46;;say;Fled;He de admitir que el escondrijo es mejor de lo que pensaba;
A47;;say;Fled;JA!;
A48;;say;Fled;Lo sabía, mis dotes del escondrijo son inmejorables.;
A49;;say;Treya;Tampoco te lo has tenido que pensar.;
A50;;say;Fled;Almenos te sabras el plan, verdad?;
A51;;say;Treya;No me convence mucho Fled....;A53
A52;;;;;
A53;;say;Fled;Conque si que te lo sabes…;
A54;;say;Fled;¿Qué mercancía llevamos?;A56
A55;;;;;
A56;;choice/soft;;Cuero tratado|Pescado;A58|A61
A57;;;;;
A58;;say;Treya;Barniz especial, cuero tratado y algunas planchas de cobre.;
A59;;say;Fled;Bien, bien.;A66
A60;;;;;
A61;;say;Treya;Redes, cebos y pescado fresco.;
A62;;say;Fled;¿Pescado? ¿Fresco?;
A63;;say;Fled;Pero si me acabo de quejar de lo seco que está vuestra tierra;
A64;;say;Fled;Además, llevar pescado de noche, no es lo más sensato.;
A65;;say;Fled;…;
A66;;say;Fled;¿Por qué viajamos de noche?;A68
A67;;;;;
A68;;choice/soft;;El camino es más seguro| El pescado no se estropea;A70|A73
A69;;;;;
A70;;say;Treya;Hay menos bandidos por los caminos.;
A71;;say;Fled;Parece que es verdad, te lo has estudiado.;A78
A72;;;;;
A73;;say;Treya;El Pescado se conserva mejor con el frio.;
A74;;say;Fled;...;
A75;;say;Fled;¿Me estas tomando el pelo Treya La Paranoica?;
